New York,"8,175,133"
Los Angeles,"3,792,621"
Chicago,"2,695,598"
Houston,"2,100,263"
Philadelphia,"1,526,006"
Phoenix,"1,445,632"
San Antonio,"1,327,407"
San Diego,"1,307,402"
Dallas,"1,197,816"
San Jose,"945,942"
Jacksonville,"821,784"
Indianapolis,"820,445"
San Francisco,"805,235"
Austin,"790,390"
Columbus,"787,033"
Fort Worth,"741,206"
Charlotte,"731,424"
Detroit,"713,777"
El Paso,"649,121"
Memphis,"646,889"
Baltimore,"620,961"
Boston,"617,594"
Seattle,"608,660"
Washington,"601,723"
Nashville,"601,222"
Denver,"600,158"
Louisville,"597,337"
Milwaukee,"594,833"
Portland,"583,776"
Las Vegas,"583,756"
Oklahoma City,"579,999"
Albuquerque,"545,852"
Tucson,"520,116"
Fresno,"494,665"
Sacramento,"466,488"
Long Beach,"462,257"
Kansas City,"459,787"
Mesa,"439,041"
Virginia Beach,"437,994"
Atlanta,"420,003"
Colorado Springs,"416,427"
Omaha,"408,958"
Raleigh,"403,892"
Miami,"399,457"
Cleveland,"396,815"
Tulsa,"391,906"
Oakland,"390,724"
Minneapolis,"382,578"
Wichita,"382,368"
Arlington,"365,438"
Bakersfield,"347,483"
New Orleans,"343,829"
Honolulu,"337,256"
Anaheim,"336,265"
Tampa,"335,709"
Aurora,"325,078"
Santa Ana,"324,528"
St. Louis,"319,294"
Pittsburgh,"305,704"
Corpus Christi,"305,215"
Riverside,"303,871"
Cincinnati,"296,943"
Lexington,"295,803"
Anchorage,"291,826"
Stockton,"291,707"
Toledo,"287,208"
Saint Paul,"285,068"
Newark,"277,140"
Greensboro,"269,666"
Buffalo,"261,310"
Plano,"259,841"
Lincoln,"258,379"
Henderson,"257,729"
Fort Wayne,"253,691"
Jersey City,"247,597"
St. Petersburg,"244,769"
Chula Vista,"243,916"
Norfolk,"242,803"
Orlando,"238,300"
Chandler,"236,123"
Laredo,"236,091"
Madison,"233,209"
Winstonâ€“Salem,"229,617"
Lubbock,"229,573"
Baton Rouge,"229,493"
Durham,"228,330"
Garland,"226,876"
Glendale,"226,721"
Reno,"225,221"
Hialeah,"224,669"
Chesapeake,"222,209"
Scottsdale,"217,385"
North Las Vegas,"216,961"
Irving,"216,290"
Fremont,"214,089"
Irvine,"212,375"
Birmingham,"212,237"
Rochester,"210,565"
San Bernardino,"209,924"
Spokane,"208,916"
Gilbert,"208,453"
Montgomery,"205,764"
Boise,"205,671"
Richmond,"204,214"
Des Moines,"203,433"
Modesto,"201,165"
Fayetteville,"200,564"
Shreveport,"199,311"
Akron,"199,110"
Tacoma,"198,397"
Oxnard,"197,899"
Aurora,"197,899"
Fontana,"196,069"
Yonkers,"195,976"
Augusta,"195,844"
Mobile,"195,111"
Little Rock,"193,524"
Moreno Valley,"193,365"
Glendale,"191,719"
Amarillo,"190,695"
Huntington Beach,"189,992"
Columbus,"189,885"
Grand Rapids,"188,040"
Salt Lake City,"186,440"
Tallahassee,"181,376"
Worcester,"181,045"
Newport News,"180,719"
Huntsville,"180,105"
Knoxville,"178,874"
Providence,"178,042"
Santa Clarita,"176,320"
Grand Prairie,"175,396"
Brownsville,"175,023"
Jackson,"173,514"
Overland Park,"173,372"
Garden Grove,"170,883"
Santa Rosa,"167,815"
Chattanooga,"167,674"
Oceanside,"167,086"
Fort Lauderdale,"165,521"
Rancho Cucamonga,"165,269"
Port St. Lucie,"164,603"
Ontario,"163,924"
Vancouver,"161,791"
Tempe,"161,719"
Springfield,"159,498"
Lancaster,"156,633"
Eugene,"156,185"
Pembroke Pines,"154,750"
Salem,"154,637"
Cape Coral,"154,305"
Peoria,"154,065"
Sioux Falls,"153,888"
Springfield,"153,060"
Elk Grove,"153,015"
Rockford,"152,871"
Palmdale,"152,750"
Corona,"152,374"
Salinas,"150,441"
Pomona,"149,058"
Pasadena,"149,043"
Joliet,"147,433"
Paterson,"146,199"
Kansas City,"145,786"
Torrance,"145,438"
Syracuse,"145,170"
Bridgeport,"144,229"
Hayward,"144,186"
Fort Collins,"143,986"
Escondido,"143,911"
Lakewood,"142,980"
Naperville,"141,853"
Dayton,"141,527"
Hollywood,"140,768"
Sunnyvale,"140,081"
Alexandria,"139,966"
Mesquite,"139,824"
Hampton,"137,436"
Pasadena,"137,122"
Orange,"136,416"
Savannah,"136,286"
Cary,"135,234"
Fullerton,"135,161"
Warren,"134,056"
Clarksville,"132,929"
McKinney,"131,117"
McAllen,"129,877"
New Haven,"129,779"
Sterling Heights,"129,699"
West Valley City,"129,480"
Columbia,"129,272"
Killeen,"127,921"
Topeka,"127,473"
Thousand Oaks,"126,683"
Cedar Rapids,"126,326"
Olathe,"125,872"
Elizabeth,"124,969"
Waco,"124,805"
